created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Fri Oct 20 10:26:50 +0000 2023,1715313619607695559,Lveidea vixtamien ga ada yg lihat di kantor tapi se indonesia ngelihatnyaa,0,0,0,0,in,1088109270845943810,1714869652650876977,CallmeBambangg,https://twitter.com/CallmeBambangg/status/1715313619607695559
Fri Oct 20 10:26:41 +0000 2023,1715313580298654201,GUE TAU YA KLEAN SEMUA GANTI PALA TAPI NGGOSAH NGILANG JUGA YE BAMBANG TERUTAMA ELUH WON HYUNSIK HAMPIR GILA GUE GARAGARA KANGEN LU PADA WOY  httpstcoZqCBpORqC,0,0,0,0,in,1668644832087277568,1715313580298654201,nbiwxyz,https://twitter.com/nbiwxyz/status/1715313580298654201
Fri Oct 20 10:26:35 +0000 2023,1715313555388707114,Di jajaran kursi tamu kehormatan tampak hadir Menteri Pertahanan Prabawo Subianto yang duduk bersebelahan dengan Presiden ke RI Susilo Bambang Yudhoyono SBY Tampil tanpa pakaian resmi TNI BersamaPrabowo MenataMasaDepan Prabowo Subianto,0,1,0,0,in,1615709518142517248,1715313482722381912,dulbedul911,https://twitter.com/dulbedul911/status/1715313555388707114
Fri Oct 20 10:26:16 +0000 2023,1715313477307482281,tigerega Ini Rega anak Pak Bambang,0,0,0,0,in,1380795730340634624,1715306990745104549,rtobirama,https://twitter.com/rtobirama/status/1715313477307482281
Fri Oct 20 10:26:05 +0000 2023,1715313432336167365,bbyimee siapaa,0,0,0,0,in,1088109270845943810,1715306636032549114,CallmeBambangg,https://twitter.com/CallmeBambangg/status/1715313432336167365
Fri Oct 20 10:25:48 +0000 2023,1715313357526552722,lisaa Vc an yuk cantik boleh kan,0,0,0,0,in,1651428624036417537,1715038513245405281,Bambang72780120,https://twitter.com/Bambang72780120/status/1715313357526552722
Fri Oct 20 10:25:33 +0000 2023,1715313297946468838,ciloqciliq mahal banget cill nikah aja yok biar ga semahal itu,0,0,0,0,in,1088109270845943810,1715195780083130616,CallmeBambangg,https://twitter.com/CallmeBambangg/status/1715313297946468838
Fri Oct 20 10:24:46 +0000 2023,1715313100747063556,Wkwkwk yg benarkalah satu putaran bro,0,0,0,0,in,1505191452540047364,1715313100747063556,Bambang07700762,https://twitter.com/Bambang07700762/status/1715313100747063556
Fri Oct 20 10:22:57 +0000 2023,1715312640774623285,Biden mendukung kebiadaban lsrael di Palestina semoga Amerika dan lsrael mendapat azab dari Allah swt,0,0,0,0,in,1505191452540047364,1715312640774623285,Bambang07700762,https://twitter.com/Bambang07700762/status/1715312640774623285
Fri Oct 20 10:22:52 +0000 2023,1715312620037886344,sigitwid Saya Kira Calon anda programnya ASSETISASI Soalnya Assetnya Mandek dah lama buangett amp  sptnya hal itu buat Dia Pusing bangett Mungkin termasuk keluarga Besarnya  Saya Takut itu jadi Prioritasnya amp  mengesampingkan program HILIRISASI,0,0,0,0,in,792623538242883584,1715178001456046359,haryantopw,https://twitter.com/haryantopw/status/1715312620037886344
Fri Oct 20 10:22:34 +0000 2023,1715312546104893933,Presiden ke  RI Susilo Bambang Yudhoyono SBY dan Presiden ke  Megawati Soekarnoputri BersamaPrabowo MenataMasaDepan Prabowo Subianto,0,1,0,0,in,1615709518142517248,1715312531936583810,dulbedul911,https://twitter.com/dulbedul911/status/1715312546104893933
Fri Oct 20 10:21:50 +0000 2023,1715312360070787125,Presiden ke  RI Susilo Bambang Yudhoyono SBY dan Presiden ke  Megawati Soekarnoputri BersamaPrabowo MenataMasaDepan Prabowo Subianto,0,1,0,0,in,1615709518142517248,1715312334565228939,dulbedul911,https://twitter.com/dulbedul911/status/1715312360070787125
Fri Oct 20 10:21:05 +0000 2023,1715312172098629777,Orang emosian wae kenapa ya apakah ada kepuasan tersendiri dengan memarahi orang ,0,0,0,0,in,743694930267123712,1715312172098629777,bambangrjl,https://twitter.com/bambangrjl/status/1715312172098629777
